event_id,event_time,site_id,site_name,industry_type,region,site_type,asset_id,asset_type,plc_id,sensor_package_id,waste_stream,process_area,ch4_pct,co2_pct,o2_pct,balance_gas_pct,h2s_ppm,temperature_c,static_pressure_kpa,gas_flow_nm3_h,plc_status,format_type,simulated_scenario,expected_severity
EVT-000001,2026-05-26T07:23:37Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,DIGESTER-01,Anaerobic Digester,PLC-001,GAS-ANALYZER-001,Wet Food Waste,Biogas Generation,69.7,27.9,0.3,2.1,228,35.6,16.8,84.9,Online,CSV,Normal,Normal
EVT-000002,2026-05-26T07:23:37Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,SKID-01,Biogas Upgrading Skid,PLC-002,GAS-ANALYZER-002,Mixed Organic Waste,Gas Conditioning,58.2,33.2,1.6,7.0,51,33.6,10.0,97.1,Online,CSV,Normal,Normal
EVT-000003,2026-05-26T07:23:37Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,TANK-01,Wastewater Process Tank,PLC-003,GAS-ANALYZER-003,Primary Sludge,Wastewater Treatment,54.5,43.0,1.2,1.3,225,34.2,10.6,89.0,Online,CSV,Normal,Normal
EVT-000004,2026-05-26T07:23:37Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,DIGESTER-02,Anaerobic Digester,PLC-004,GAS-ANALYZER-004,Sewage Sludge,Sludge Digestion,64.9,29.6,1.4,4.1,56,37.8,15.4,117.9,Online,CSV,Normal,Normal
EVT-000005,2026-05-26T07:23:37Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-01,Landfill Gas Well,PLC-005,GAS-ANALYZER-005,Municipal Solid Waste,Landfill Gas Collection,52.1,44.2,0.6,3.1,276,34.8,5.2,70.0,Online,CSV,Normal,Normal
EVT-000006,2026-05-26T07:23:37Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-02,Landfill Gas Well,PLC-006,GAS-ANALYZER-006,Municipal Solid Waste,Landfill Gas Collection,66.6,29.6,0.5,3.3,52,38.9,5.7,89.1,Online,CSV,Normal,Normal
EVT-000007,2026-05-26T07:23:42Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,DIGESTER-01,Anaerobic Digester,PLC-001,GAS-ANALYZER-001,Wet Food Waste,Biogas Generation,54.8,32.1,1.0,12.1,98,33.5,11.8,95.6,Online,CSV,Normal,Normal
EVT-000008,2026-05-26T07:23:42Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,SKID-01,Biogas Upgrading Skid,PLC-002,GAS-ANALYZER-002,Mixed Organic Waste,Gas Conditioning,53.8,42.7,0.9,2.6,156,37.7,11.9,97.4,Online,CSV,Normal,Normal
EVT-000009,2026-05-26T07:23:42Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,TANK-01,Wastewater Process Tank,PLC-003,GAS-ANALYZER-003,Primary Sludge,Wastewater Treatment,43.1,53.8,0.8,2.3,214,39.5,15.4,86.4,Online,CSV,METHANE_QUALITY_DROP_WARNING,Warning
EVT-000010,2026-05-26T07:23:42Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,DIGESTER-02,Anaerobic Digester,PLC-004,GAS-ANALYZER-004,Sewage Sludge,Sludge Digestion,59.9,28.6,0.5,11.0,100,35.4,15.7,83.3,Online,CSV,Normal,Normal
EVT-000011,2026-05-26T07:23:42Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-01,Landfill Gas Well,PLC-005,GAS-ANALYZER-005,Municipal Solid Waste,Landfill Gas Collection,66.5,29.5,0.5,3.5,235,32.3,14.2,111.6,Online,CSV,Normal,Normal
